iter	Logloss
0	0.6845611388
1	0.6759339464
2	0.668429098
3	0.6609360681
4	0.6540085352
5	0.647326214
6	0.6407826796
7	0.6362359751
8	0.6315999302
9	0.6269920538
10	0.6235317807
11	0.6191465343
12	0.6165581737
13	0.6144590726
14	0.6113310879
15	0.6097865414
16	0.6071974666
17	0.6042805469
18	0.6017203986
19	0.6000612623
20	0.5977209764
21	0.5957212588
22	0.5930464416
23	0.5909283677
24	0.588812674
25	0.5867105196
26	0.5846741986
27	0.5830565786
28	0.580596869
29	0.580102322
30	0.5795445117
31	0.5789981838
32	0.5782697523
33	0.5768224074
34	0.5764274722
35	0.5760045635
36	0.5754087216
37	0.5745861516
38	0.5739559793
39	0.5730839209
40	0.5727267148
41	0.5721120144
42	0.5711480875
43	0.5704196839
44	0.5700111656
45	0.5693830165
46	0.568012056
47	0.5674171321
48	0.567114481
49	0.5667265925
50	0.5654926367
51	0.5644601103
52	0.5636330128
53	0.5633466174
54	0.5627074948
55	0.5625493425
56	0.5618678343
57	0.5606827784
58	0.5602779328
59	0.5591204449
60	0.558285126
61	0.5574336016
62	0.5565283026
63	0.5560231664
64	0.555754252
65	0.5552415488
66	0.5547164493
67	0.5542854748
68	0.5535541263
69	0.552755814
70	0.552013907
71	0.5512873161
72	0.5509943853
73	0.5505415329
74	0.5499921195
75	0.5495832883
76	0.549229234
77	0.5483541876
78	0.5477644012
79	0.5472484813
80	0.5468885332
81	0.546264526
82	0.545877656
83	0.5456126057
84	0.545097833
85	0.5446820964
86	0.5444184002
87	0.5438853263
88	0.5433926295
89	0.5428963062
90	0.5425399904
91	0.5421448046
92	0.5418910638
93	0.5416032355
94	0.5409467002
95	0.5403389997
96	0.540017609
97	0.5397355682
98	0.5393398621
99	0.5391059088
100	0.5386819898
101	0.5381042549
102	0.5374234207
103	0.5371569958
104	0.5368362884
105	0.5365708159
106	0.5363393328
107	0.5358925706
108	0.5355532707
109	0.5351030885
110	0.5343725901
111	0.5338981681
112	0.5334210621
113	0.5330081217
114	0.5325660065
115	0.5323140522
116	0.5320545131
117	0.531732773
118	0.5312067616
119	0.5309560825
120	0.5306901964
121	0.5302475658
122	0.5297917051
123	0.5294757515
124	0.5291024846
125	0.5289030084
126	0.5285583702
127	0.5283661561
128	0.5280389598
129	0.5276889313
130	0.5272667121
131	0.5268394688
132	0.526594922
133	0.5262546743
134	0.5260907417
135	0.5256524643
136	0.5249956253
137	0.5247208709
138	0.5242916564
139	0.5240706809
140	0.523784042
141	0.5233053523
142	0.5230783599
143	0.5228316016
144	0.5226201405
145	0.5223153003
146	0.5220371779
147	0.5215937667
148	0.5212746325
149	0.5208293642
150	0.5205010799
151	0.5203448059
152	0.5198155709
153	0.5194015525
154	0.5188367951
155	0.5185317412
156	0.5179313232
157	0.5176953515
158	0.5171904786
159	0.5168369273
160	0.5164535715
161	0.5160976687
162	0.5156527214
163	0.515427753
164	0.5150544708
165	0.5147885307
166	0.5141864448
167	0.5139060099
168	0.5135697337
169	0.5132710537
170	0.5129969299
171	0.5125614905
172	0.5122909134
173	0.5119729757
174	0.5117722936
175	0.5114590705
176	0.5109755662
177	0.5106049455
178	0.5102242905
179	0.5099242874
180	0.5094830123
181	0.5092490987
182	0.5089931715
183	0.5086701613
184	0.5083139348
185	0.5079242393
186	0.5076843932
187	0.5073759808
188	0.5068643837
189	0.5065478562
190	0.5061983319
191	0.5058834152
192	0.5054365696
193	0.5050107091
194	0.5044806717
195	0.5041632197
196	0.5037698516
197	0.5034958618
198	0.5029978216
199	0.5027063245
200	0.5022268148
201	0.501923567
202	0.5014417128
203	0.501095868
204	0.5005960079
205	0.5002996822
206	0.5001439312
207	0.4999644825
208	0.4995589278
209	0.4991469708
210	0.4988191793
211	0.4984752124
212	0.4980727545
213	0.497562771
214	0.4970697432
215	0.4966197731
216	0.4962499997
217	0.4959108201
218	0.4956732667
219	0.4953769059
220	0.49485242
221	0.4944562142
222	0.494163141
223	0.4939008535
224	0.4935234333
225	0.4932015307
226	0.4929576464
227	0.4924004454
228	0.4919106116
229	0.4914756839
230	0.4912245908
231	0.4907615596
232	0.4904108237
233	0.4899211803
234	0.4895974698
235	0.4892375212
236	0.4890149757
237	0.4886164285
238	0.4879617511
239	0.4875738608
240	0.4872260904
241	0.4867509753
242	0.4863972255
243	0.4859319028
244	0.4854876974
245	0.4849307892
246	0.4843840943
247	0.4838081444
248	0.4834858637
249	0.4832061242
250	0.4828412101
251	0.4823905569
252	0.4820166486
253	0.4815331916
254	0.4809845442
255	0.480618536
256	0.4803559887
257	0.4799618376
258	0.4796700691
259	0.4792798849
260	0.4787768558
261	0.4782050591
262	0.4777301853
263	0.4770514581
264	0.4766022215
265	0.4760535431
266	0.4756617702
267	0.4753032226
268	0.4748885869
269	0.474447852
270	0.4738856527
271	0.4736374348
272	0.4733312295
273	0.4728291161
274	0.4723305485
275	0.4718440495
276	0.4714049048
277	0.4710114273
278	0.4706028892
279	0.4700793229
280	0.469676274
281	0.4691934172
282	0.4687050429
283	0.4682033935
284	0.4677031598
285	0.467387184
286	0.4669601662
287	0.4664168661
288	0.4658237354
289	0.4654167454
290	0.4650283038
291	0.4646244645
292	0.4641881914
293	0.4637772404
294	0.4633374668
295	0.4628798885
296	0.4623944189
297	0.4619054502
298	0.4614449683
299	0.4609578968
300	0.4604549737
301	0.459961209
302	0.4594801073
303	0.4591771492
304	0.4586729714
305	0.4582851548
306	0.4578842941
307	0.4573843115
308	0.456941843
309	0.4565167863
310	0.4561124922
311	0.4556217722
312	0.4550519336
313	0.454793734
314	0.4545010101
315	0.4541481809
316	0.4535888233
317	0.4530752517
318	0.4527531426
319	0.4522488701
320	0.4518806544
321	0.4516159262
322	0.4512634181
323	0.4508422641
324	0.4505228861
325	0.4501796783
326	0.4497765907
327	0.4493738628
328	0.4489781594
329	0.4486560689
330	0.4481976578
331	0.447787918
332	0.4473098598
333	0.4469544351
334	0.446430609
335	0.446047912
336	0.4454811366
337	0.4452232245
338	0.444923361
339	0.4444514558
