iter	Logloss
340	0.4441900566
341	0.4438878866
342	0.4434295006
343	0.4430709361
344	0.4426573118
345	0.4423359093
346	0.441979304
347	0.4416194769
348	0.4412896422
349	0.4411382105
350	0.4407376247
351	0.4403659302
352	0.439984571
353	0.4394723801
354	0.4389852182
355	0.4387340892
356	0.4382314701
357	0.4376883621
358	0.4373929346
359	0.4370655318
360	0.4365066291
361	0.4361778708
362	0.4357763602
363	0.4352877188
364	0.43481455
365	0.4343625476
366	0.4339723563
367	0.4335469877
368	0.4331070549
369	0.4327523036
370	0.4323414106
371	0.4320017395
372	0.4315762536
373	0.431132177
374	0.4306866467
375	0.4304181358
376	0.4300870322
377	0.4296900711
378	0.4293314411
379	0.429059091
380	0.4285983012
381	0.4283727962
382	0.4278578621
383	0.4274518577
384	0.4271134527
385	0.4267264326
386	0.4263352159
387	0.425929183
388	0.4255333717
389	0.4252368169
390	0.4249534221
391	0.4247348721
392	0.4243269567
393	0.4239126889
394	0.4235332567
395	0.4230614111
396	0.4228122956
397	0.4224960831
398	0.4220883254
399	0.4216283273
